Assembly_Accession,tax_id,Species,Kingdom,Phylum,Class,FTP_path
GCF_005082145.1,466616,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/082/145/GCF_005082145.1_ASM508214v1
GCF_005082585.1,571428,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/082/585/GCF_005082585.1_ASM508258v1
GCF_005083845.1,2315802,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/083/845/GCF_005083845.1_ASM508384v1
GCF_005237295.1,1507522,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/237/295/GCF_005237295.1_ASM523729v1
GCF_006741185.1,2495405,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/741/185/GCF_006741185.1_BucNmo_1.0
GCF_011035165.1,255719,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/035/165/GCF_011035165.1_ASM1103516v1
GCF_900016785.1,98804,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/016/785/GCF_900016785.1_BTsPazieg1.0
GCF_900128595.1,655384,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/128/595/GCF_900128595.1_BCipseudotaxifoliae_v1.0
GCF_900128725.1,9,,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/128/725/GCF_900128725.1_BCifornacula_v1.0
GCF_900128735.1,1878935,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/128/735/GCF_900128735.1_BCiconfinis_v1.0
GCF_000218545.1,593907,Cellulomonas gilvus,Bacteria,Actinobacteria,Actinobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/545/GCF_000218545.1_ASM21854v1
GCF_000020965.1,309799,Dictyoglomus thermophilum,Bacteria,Dictyoglomi,Dictyoglomia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/965/GCF_000020965.1_ASM2096v1
GCF_000012885.1,338963,Pelobacter carbinolicus,Bacteria,Proteobacteria,Deltaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/885/GCF_000012885.1_ASM1288v1
GCF_000016585.1,319224,Shewanella putrefaciens,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/585/GCF_000016585.1_ASM1658v1
GCF_000169215.2,399804,Shewanella putrefaciens,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/169/215/GCF_000169215.2_ASM16921v2
GCF_003044255.1,24,,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/044/255/GCF_003044255.1_ASM304425v1
GCF_000012685.1,246197,Myxococcus xanthus,Bacteria,Proteobacteria,Deltaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/685/GCF_000012685.1_ASM1268v1
GCF_006400955.1,34,,Bacteria,Proteobacteria,Deltaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/400/955/GCF_006400955.1_ASM640095v1
GCF_000219105.1,35,,Bacteria,Proteobacteria,Deltaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/105/GCF_000219105.1_ASM21910v1
GCF_002305895.1,1189310,Corallococcus macrosporus,Bacteria,Proteobacteria,Deltaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/305/895/GCF_002305895.1_ASM230589v1
GCF_000165485.1,378806,Stigmatella aurantiaca,Bacteria,Proteobacteria,Deltaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/485/GCF_000165485.1_ASM16548v1
GCF_002305875.1,43,,Bacteria,Proteobacteria,Deltaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/305/875/GCF_002305875.1_ASM230587v1
GCF_001027285.1,48,,Bacteria,Proteobacteria,Deltaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/027/285/GCF_001027285.1_ASM102728v1
GCF_001189295.1,52,,Bacteria,Proteobacteria,Deltaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/189/295/GCF_001189295.1_ASM118929v1
GCF_000067165.1,448385,Sorangium cellulosum,Bacteria,Proteobacteria,Deltaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/067/165/GCF_000067165.1_ASM6716v1
GCF_000418325.1,1254432,Sorangium cellulosum,Bacteria,Proteobacteria,Deltaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/418/325/GCF_000418325.1_ASM41832v1
GCF_002950945.1,56,,Bacteria,Proteobacteria,Deltaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/950/945/GCF_002950945.1_ASM295094v1
GCF_002222655.1,63,,Bacteria,Proteobacteria,Betaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/222/655/GCF_002222655.1_ASM222265v1
GCF_002355975.1,69,,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/355/975/GCF_002355975.1_ASM235597v1
GCF_002951835.1,641147,Simonsiella muelleri,Bacteria,Proteobacteria,Betaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/951/835/GCF_002951835.1_ASM295183v1
GCF_006738645.1,94,,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/738/645/GCF_006738645.1_ASM673864v1
GCF_000222485.1,880070,Cyclobacterium marinum,Bacteria,Bacteroidetes,Cytophagia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/222/485/GCF_000222485.1_ASM22248v1
GCF_003149495.1,114,,Bacteria,Planctomycetes,Planctomycetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/149/495/GCF_003149495.1_ASM314949v1
GCF_000165715.2,756272,Rubinisphaera brasiliensis,Bacteria,Planctomycetes,Planctomycetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/715/GCF_000165715.2_ASM16571v3
GCF_000092105.1,521674,Planctopirus limnophila,Bacteria,Planctomycetes,Planctomycetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/105/GCF_000092105.1_ASM9210v1
GCF_008298035.1,122,,Bacteria,Planctomycetes,Planctomycetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/298/035/GCF_008298035.1_ASM829803v1
GCF_000025185.1,530564,Pirellula staleyi,Bacteria,Planctomycetes,Planctomycetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/185/GCF_000025185.1_ASM2518v1
GCF_000186345.1,575540,Isosphaera pallida,Bacteria,Planctomycetes,Planctomycetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/345/GCF_000186345.1_ASM18634v1
GCF_009685195.1,134,,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/685/195/GCF_009685195.1_ASM968519v1
GCF_000008685.2,224326,Borreliella burgdorferi,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/685/GCF_000008685.2_ASM868v2
GCF_000021405.1,445985,Borreliella burgdorferi,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/405/GCF_000021405.1_ASM2140v1
GCF_000166635.1,521007,Borreliella burgdorferi,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/166/635/GCF_000166635.1_ASM16663v1
GCF_000166655.1,521008,Borreliella burgdorferi,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/166/655/GCF_000166655.1_ASM16665v1
GCF_000444465.1,1328311,Borreliella burgdorferi,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/444/465/GCF_000444465.1_ASM44446v1
GCF_002151465.1,139,,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/151/465/GCF_002151465.1_ASM215146v1
GCF_000956315.1,1329908,Borrelia hermsii,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/956/315/GCF_000956315.1_ASM95631v1
GCF_001660005.1,1867252,Borrelia hermsii,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/660/005/GCF_001660005.1_ASM166000v1
GCF_000512145.1,1435045,Borrelia parkeri,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/512/145/GCF_000512145.1_ASM51214v2
GCF_000012085.2,314724,Borrelia turicatae,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/085/GCF_000012085.2_ASM1208v2
GCF_003568645.1,142,,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/568/645/GCF_003568645.1_ASM356864v1
GCF_001936255.1,1365188,Borrelia anserina,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/936/255/GCF_001936255.1_ASM193625v1
GCF_000147075.1,665571,Spirochaeta thermophila,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/075/GCF_000147075.1_ASM14707v1
GCF_000184345.1,869211,Spirochaeta thermophila,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/184/345/GCF_000184345.1_ASM18434v2
GCF_000008185.1,243275,Treponema denticola,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/185/GCF_000008185.1_ASM818v1
GCF_000022105.1,565034,Brachyspira hyodysenteriae,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/105/GCF_000022105.1_ASM2210v1
GCF_001676785.2,1266923,Brachyspira hyodysenteriae,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/676/785/GCF_001676785.2_ASM167678v2
GCF_002850235.1,159,,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/850/235/GCF_002850235.1_ASM285023v1
GCF_000008605.1,243276,Treponema pallidum,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/605/GCF_000008605.1_ASM860v1
GCF_000604125.1,1095955,Treponema pallidum,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/604/125/GCF_000604125.1_ASM60412v1
GCF_005885795.1,161,Treponema pallidum,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/885/795/GCF_005885795.1_ASM588579v1
GCF_008152505.1,162,,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/152/505/GCF_008152505.1_ASM815250v1
GCF_000195275.1,869209,Treponema succinifaciens,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/275/GCF_000195275.1_ASM19527v1
GCF_000017605.1,355278,Leptospira biflexa,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/605/GCF_000017605.1_ASM1760v1
GCF_000017685.1,456481,Leptospira biflexa,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/685/GCF_000017685.1_ASM1768v1
GCF_000007685.1,267671,Leptospira interrogans,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/685/GCF_000007685.1_ASM768v1
GCF_000092565.1,189518,Leptospira interrogans,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/565/GCF_000092565.1_ASM9256v1
GCF_000231175.1,573825,Leptospira interrogans,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/231/175/GCF_000231175.1_ASM23117v1
GCF_000941035.1,1395589,Leptospira interrogans,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/941/035/GCF_000941035.1_ASM94103v1
GCF_001010765.1,338215,Leptospira interrogans,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/010/765/GCF_001010765.1_ASM101076v1
GCF_001047635.1,214675,Leptospira interrogans,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/047/635/GCF_001047635.1_ASM104763v1
GCF_001293065.1,1279460,Leptospira interrogans,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/293/065/GCF_001293065.1_ASM129306v1
GCF_002073495.2,44275,Leptospira interrogans,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/073/495/GCF_002073495.2_ASM207349v2
GCF_005222565.1,173,,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/222/565/GCF_005222565.1_ASM522256v1
GCF_008118365.1,176,Leptospira interrogans,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/118/365/GCF_008118365.1_ASM811836v1
GCF_008831445.1,211880,Leptospira interrogans,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/831/445/GCF_008831445.1_ASM883144v1
GCF_000013945.1,355276,Leptospira borgpetersenii,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/945/GCF_000013945.1_ASM1394v1
GCF_000013965.1,355277,Leptospira borgpetersenii,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/965/GCF_000013965.1_ASM1396v1
GCF_001444465.1,280505,Leptospira borgpetersenii,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/444/465/GCF_001444465.1_ASM144446v1
GCF_003254845.1,338217,Leptospira borgpetersenii,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/254/845/GCF_003254845.1_ASM325484v1
GCF_003516145.1,508536,Leptospira borgpetersenii,Bacteria,Spirochaetes,Spirochaetia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/516/145/GCF_003516145.1_ASM351614v1
GCF_000284315.1,1162668,Leptospirillum ferrooxidans,Bacteria,Nitrospirae,Nitrospira,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/315/GCF_000284315.1_ASM28431v1
GCF_000632475.1,192,,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/632/475/GCF_000632475.1_ASM63247v2
GCF_000010725.1,137722,Azospirillum lipoferum,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/725/GCF_000010725.1_ASM1072v1
GCF_000283655.1,862719,Azospirillum lipoferum,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/655/GCF_000283655.1_ASM28365v1
GCF_000465235.1,1273173,Campylobacter coli,Bacteria,Proteobacteria,Epsilonproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/465/235/GCF_000465235.1_ASM46523v1
GCF_000494775.2,1358410,Campylobacter coli,Bacteria,Proteobacteria,Epsilonproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/494/775/GCF_000494775.2_ASM49477v2
GCF_000583755.1,1183378,Campylobacter coli,Bacteria,Proteobacteria,Epsilonproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/583/755/GCF_000583755.1_ASM58375v1
GCF_000583775.1,1183379,Campylobacter coli,Bacteria,Proteobacteria,Epsilonproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/583/775/GCF_000583775.1_ASM58377v1
GCF_000583795.1,1183380,Campylobacter coli,Bacteria,Proteobacteria,Epsilonproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/583/795/GCF_000583795.1_ASM58379v1
GCF_000954195.1,195,,Bacteria,Proteobacteria,Epsilonproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/954/195/GCF_000954195.1_ASM95419v1
GCF_000015085.1,360106,Campylobacter fetus,Bacteria,Proteobacteria,Epsilonproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/085/GCF_000015085.1_ASM1508v1
GCF_000512745.2,1273266,Campylobacter fetus,Bacteria,Proteobacteria,Epsilonproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/512/745/GCF_000512745.2_ASM51274v2
GCF_000759485.1,1240980,Campylobacter fetus,Bacteria,Proteobacteria,Epsilonproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/759/485/GCF_000759485.1_ASM75948v1
GCF_000759515.1,1093099,Campylobacter fetus,Bacteria,Proteobacteria,Epsilonproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/759/515/GCF_000759515.1_ASM75951v1
GCF_000814265.1,1507806,Campylobacter fetus,Bacteria,Proteobacteria,Epsilonproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/814/265/GCF_000814265.1_ASM81426v1
GCF_000967135.1,688354,Campylobacter fetus,Bacteria,Proteobacteria,Epsilonproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/967/135/GCF_000967135.1_CFV
GCF_001484645.1,1244529,Campylobacter fetus,Bacteria,Proteobacteria,Epsilonproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/484/645/GCF_001484645.1_ASM148464v1
GCF_001686885.1,32020,Campylobacter fetus,Bacteria,Proteobacteria,Epsilonproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/686/885/GCF_001686885.1_ASM168688v1
GCF_008271385.1,983328,Campylobacter fetus,Bacteria,Proteobacteria,Epsilonproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/271/385/GCF_008271385.1_ASM827138v1
GCF_900475935.1,32019,Campylobacter fetus,Bacteria,Proteobacteria,Epsilonproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/475/935/GCF_900475935.1_48450_H02
GCF_000009085.1,192222,Campylobacter jejuni,Bacteria,Proteobacteria,Epsilonproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/085/GCF_000009085.1_ASM908v1
GCF_000011865.1,195099,Campylobacter jejuni,Bacteria,Proteobacteria,Epsilonproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/865/GCF_000011865.1_ASM1186v1
GCF_000015525.1,354242,Campylobacter jejuni,Bacteria,Proteobacteria,Epsilonproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/525/GCF_000015525.1_ASM1552v1
GCF_000017905.1,407148,Campylobacter jejuni,Bacteria,Proteobacteria,Epsilonproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/905/GCF_000017905.1_ASM1790v1
GCF_000025425.1,567106,Campylobacter jejuni,Bacteria,Proteobacteria,Epsilonproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/425/GCF_000025425.1_ASM2542v1
GCF_000148705.1,645464,Campylobacter jejuni,Bacteria,Proteobacteria,Epsilonproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/705/GCF_000148705.1_ASM14870v1
GCF_000171795.2,478547,Campylobacter jejuni,Bacteria,Proteobacteria,Epsilonproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/171/795/GCF_000171795.2_ASM17179v2
GCF_000184205.1,718271,Campylobacter jejuni,Bacteria,Proteobacteria,Epsilonproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/184/205/GCF_000184205.1_ASM18420v1
GCF_000302555.5,1201032,Campylobacter jejuni,Bacteria,Proteobacteria,Epsilonproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/302/555/GCF_000302555.5_ASM30255v4
