Accession,tax_id,Species,Kingdom,Phylum,Class,Length,Description
CP049029.1,2552766,Fluviibacterium aquatile,Bacteria,Proteobacteria,Alphaproteobacteria,391128,"Fluviibacterium aquatile strain SC52 plasmid pSC52_1, complete sequence"
CP049323.1,2705547,Caballeronia sp. SBC2,Bacteria,Proteobacteria,Betaproteobacteria,24666,"Caballeronia sp. SBC2 plasmid pSBC2-7, complete sequence"
CP049322.1,2705547,Caballeronia sp. SBC2,Bacteria,Proteobacteria,Betaproteobacteria,120676,"Caballeronia sp. SBC2 plasmid pSBC2-6, complete sequence"
CP049321.1,2705547,Caballeronia sp. SBC2,Bacteria,Proteobacteria,Betaproteobacteria,195179,"Caballeronia sp. SBC2 plasmid pSBC2-5, complete sequence"
CP049320.1,2705547,Caballeronia sp. SBC2,Bacteria,Proteobacteria,Betaproteobacteria,377315,"Caballeronia sp. SBC2 plasmid pSBC2-4, complete sequence"
CP049319.1,2705547,Caballeronia sp. SBC2,Bacteria,Proteobacteria,Betaproteobacteria,794780,"Caballeronia sp. SBC2 plasmid pSBC2-3, complete sequence"
CP049318.1,2705547,Caballeronia sp. SBC2,Bacteria,Proteobacteria,Betaproteobacteria,1831039,"Caballeronia sp. SBC2 plasmid pSBC2-2, complete sequence"
CP049317.1,2705547,Caballeronia sp. SBC2,Bacteria,Proteobacteria,Betaproteobacteria,1990521,"Caballeronia sp. SBC2 plasmid pSBC2-1, complete sequence"
CP047022.1,1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,19760,"Staphylococcus aureus strain M2024 plasmid pl1_M2024, complete sequence"
CP048786.1,614,Serratia liquefaciens,Bacteria,Proteobacteria,Gammaproteobacteria,8823,"Serratia liquefaciens strain S1 plasmid pSl2, complete sequence"
CP048785.1,614,Serratia liquefaciens,Bacteria,Proteobacteria,Gammaproteobacteria,23411,"Serratia liquefaciens strain S1 plasmid pSl1, complete sequence"
CP048925.1,1590,Lactobacillus plantarum,Bacteria,Firmicutes,Bacilli,16757,"Lactobacillus plantarum strain X7022 plasmid unnamed4, complete sequence"
CP048924.1,1590,Lactobacillus plantarum,Bacteria,Firmicutes,Bacilli,35058,"Lactobacillus plantarum strain X7022 plasmid unnamed3, complete sequence"
CP048923.1,1590,Lactobacillus plantarum,Bacteria,Firmicutes,Bacilli,38326,"Lactobacillus plantarum strain X7022 plasmid unnamed2, complete sequence"
CP048922.1,1590,Lactobacillus plantarum,Bacteria,Firmicutes,Bacilli,68679,"Lactobacillus plantarum strain X7022 plasmid unnamed1, complete sequence"
CP048881.1,2683272,Oceanospirillales bacterium S2-4-1H,Bacteria,Proteobacteria,Gammaproteobacteria,82464,"Oceanospirillales bacterium S2-4-1H plasmid pC, complete sequence"
CP048880.1,2683272,Oceanospirillales bacterium S2-4-1H,Bacteria,Proteobacteria,Gammaproteobacteria,102423,"Oceanospirillales bacterium S2-4-1H plasmid pB, complete sequence"
CP048879.1,2683272,Oceanospirillales bacterium S2-4-1H,Bacteria,Proteobacteria,Gammaproteobacteria,141078,"Oceanospirillales bacterium S2-4-1H plasmid pA, complete sequence"
CP047638.1,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,10077,"Klebsiella pneumoniae strain K2606 plasmid unnamed5, complete sequence"
CP047637.1,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,70729,"Klebsiella pneumoniae strain K2606 plasmid unnamed4, complete sequence"
CP047636.1,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,109004,"Klebsiella pneumoniae strain K2606 plasmid unnamed3, complete sequence"
CP047635.1,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,138314,"Klebsiella pneumoniae strain K2606 plasmid unnamed2, complete sequence"
CP047634.1,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,174647,"Klebsiella pneumoniae strain K2606 plasmid unnamed1, complete sequence"
CP048816.1,2010972,Caulobacter rhizosphaerae,Bacteria,Proteobacteria,Alphaproteobacteria,231492,Caulobacter rhizosphaerae strain KCTC 52515 plasmid unnamed
CP044449.1,756892,Acinetobacter indicus,Bacteria,Proteobacteria,Gammaproteobacteria,9322,"Acinetobacter indicus strain CMG3-2 plasmid pCMG3-2-4, complete sequence"
CP044448.1,756892,Acinetobacter indicus,Bacteria,Proteobacteria,Gammaproteobacteria,11746,"Acinetobacter indicus strain CMG3-2 plasmid pCMG3-2-3, complete sequence"
CP044447.1,756892,Acinetobacter indicus,Bacteria,Proteobacteria,Gammaproteobacteria,16151,"Acinetobacter indicus strain CMG3-2 plasmid pCMG3-2-2, complete sequence"
CP044446.1,756892,Acinetobacter indicus,Bacteria,Proteobacteria,Gammaproteobacteria,120957,"Acinetobacter indicus strain CMG3-2 plasmid pCMG3-2-1, complete sequence"
CP046599.1,756892,Acinetobacter indicus,Bacteria,Proteobacteria,Gammaproteobacteria,1593,"Acinetobacter indicus strain FS42-2 plasmid pFS42-2-4, complete sequence"
CP046598.1,756892,Acinetobacter indicus,Bacteria,Proteobacteria,Gammaproteobacteria,10590,"Acinetobacter indicus strain FS42-2 plasmid pFS42-2-3, complete sequence"
CP046597.1,756892,Acinetobacter indicus,Bacteria,Proteobacteria,Gammaproteobacteria,28432,"Acinetobacter indicus strain FS42-2 plasmid pFS42-2-2, complete sequence"
CP046596.1,756892,Acinetobacter indicus,Bacteria,Proteobacteria,Gammaproteobacteria,140938,"Acinetobacter indicus strain FS42-2 plasmid pFS42-2-1, complete sequence"
CP044454.1,756892,Acinetobacter indicus,Bacteria,Proteobacteria,Gammaproteobacteria,10553,"Acinetobacter indicus strain MMS9-2 plasmid pMMS9-2-4, complete sequence"
CP044453.1,756892,Acinetobacter indicus,Bacteria,Proteobacteria,Gammaproteobacteria,12422,"Acinetobacter indicus strain MMS9-2 plasmid pMMS9-2-3, complete sequence"
CP044452.1,756892,Acinetobacter indicus,Bacteria,Proteobacteria,Gammaproteobacteria,17169,"Acinetobacter indicus strain MMS9-2 plasmid pMMS9-2-2, complete sequence"
CP044451.1,756892,Acinetobacter indicus,Bacteria,Proteobacteria,Gammaproteobacteria,121603,"Acinetobacter indicus strain MMS9-2 plasmid pMMS9-2-1, complete sequence"
CP044462.1,756892,Acinetobacter indicus,Bacteria,Proteobacteria,Gammaproteobacteria,13146,"Acinetobacter indicus strain B18 plasmid pB18-7, complete sequence"
CP044461.1,756892,Acinetobacter indicus,Bacteria,Proteobacteria,Gammaproteobacteria,14098,"Acinetobacter indicus strain B18 plasmid pB18-6, complete sequence"
CP044460.1,756892,Acinetobacter indicus,Bacteria,Proteobacteria,Gammaproteobacteria,21855,"Acinetobacter indicus strain B18 plasmid pB18-5, complete sequence"
CP044459.1,756892,Acinetobacter indicus,Bacteria,Proteobacteria,Gammaproteobacteria,33913,"Acinetobacter indicus strain B18 plasmid pB18-4, complete sequence"
CP044458.1,756892,Acinetobacter indicus,Bacteria,Proteobacteria,Gammaproteobacteria,84177,"Acinetobacter indicus strain B18 plasmid pB18-3, complete sequence"
CP044457.1,756892,Acinetobacter indicus,Bacteria,Proteobacteria,Gammaproteobacteria,136195,"Acinetobacter indicus strain B18 plasmid pB18-2, complete sequence"
CP044456.1,756892,Acinetobacter indicus,Bacteria,Proteobacteria,Gammaproteobacteria,274859,"Acinetobacter indicus strain B18 plasmid pB18-1, complete sequence"
CP044473.1,108981,Acinetobacter schindleri,Bacteria,Proteobacteria,Gammaproteobacteria,4226,"Acinetobacter schindleri strain HZE23-1 plasmid pHZE23-1-10, complete sequence"
CP044472.1,108981,Acinetobacter schindleri,Bacteria,Proteobacteria,Gammaproteobacteria,5770,"Acinetobacter schindleri strain HZE23-1 plasmid pHZE23-1-9, complete sequence"
CP044471.1,108981,Acinetobacter schindleri,Bacteria,Proteobacteria,Gammaproteobacteria,6354,"Acinetobacter schindleri strain HZE23-1 plasmid pHZE23-1-8, complete sequence"
CP044470.1,108981,Acinetobacter schindleri,Bacteria,Proteobacteria,Gammaproteobacteria,6823,"Acinetobacter schindleri strain HZE23-1 plasmid pHZE23-1-7, complete sequence"
CP044469.1,108981,Acinetobacter schindleri,Bacteria,Proteobacteria,Gammaproteobacteria,7346,"Acinetobacter schindleri strain HZE23-1 plasmid pHZE23-1-6, complete sequence"
CP044468.1,108981,Acinetobacter schindleri,Bacteria,Proteobacteria,Gammaproteobacteria,11821,"Acinetobacter schindleri strain HZE23-1 plasmid pHZE23-1-5, complete sequence"
CP044467.1,108981,Acinetobacter schindleri,Bacteria,Proteobacteria,Gammaproteobacteria,12109,"Acinetobacter schindleri strain HZE23-1 plasmid pHZE23-1-4, complete sequence"
CP044466.1,108981,Acinetobacter schindleri,Bacteria,Proteobacteria,Gammaproteobacteria,13172,"Acinetobacter schindleri strain HZE23-1 plasmid pHZE23-1-3, complete sequence"
CP044465.1,108981,Acinetobacter schindleri,Bacteria,Proteobacteria,Gammaproteobacteria,34862,"Acinetobacter schindleri strain HZE23-1 plasmid pHZE23-1-2, complete sequence"
CP044464.1,108981,Acinetobacter schindleri,Bacteria,Proteobacteria,Gammaproteobacteria,138456,"Acinetobacter schindleri strain HZE23-1 plasmid pHZE23-1-1, complete sequence"
CP044491.1,108981,Acinetobacter schindleri,Bacteria,Proteobacteria,Gammaproteobacteria,6317,"Acinetobacter schindleri strain HZE30-1 plasmid pHZE30-1-8, complete sequence"
CP044490.1,108981,Acinetobacter schindleri,Bacteria,Proteobacteria,Gammaproteobacteria,6838,"Acinetobacter schindleri strain HZE30-1 plasmid pHZE30-1-7, complete sequence"
CP044489.1,108981,Acinetobacter schindleri,Bacteria,Proteobacteria,Gammaproteobacteria,7333,"Acinetobacter schindleri strain HZE30-1 plasmid pHZE30-1-6, complete sequence"
CP044488.1,108981,Acinetobacter schindleri,Bacteria,Proteobacteria,Gammaproteobacteria,8408,"Acinetobacter schindleri strain HZE30-1 plasmid pHZE30-1-5, complete sequence"
CP044487.1,108981,Acinetobacter schindleri,Bacteria,Proteobacteria,Gammaproteobacteria,14179,"Acinetobacter schindleri strain HZE30-1 plasmid pHZE30-1-4, complete sequence"
CP044486.1,108981,Acinetobacter schindleri,Bacteria,Proteobacteria,Gammaproteobacteria,18373,"Acinetobacter schindleri strain HZE30-1 plasmid pHZE30-1-3, complete sequence"
CP044485.1,108981,Acinetobacter schindleri,Bacteria,Proteobacteria,Gammaproteobacteria,68525,"Acinetobacter schindleri strain HZE30-1 plasmid pHZE30-1-2, complete sequence"
CP044484.1,108981,Acinetobacter schindleri,Bacteria,Proteobacteria,Gammaproteobacteria,110146,"Acinetobacter schindleri strain HZE30-1 plasmid pHZE30-1-1, complete sequence"
CP044482.1,108981,Acinetobacter schindleri,Bacteria,Proteobacteria,Gammaproteobacteria,5330,"Acinetobacter schindleri strain HZE33-1 plasmid pHZE33-1-8, complete sequence"
CP044481.1,108981,Acinetobacter schindleri,Bacteria,Proteobacteria,Gammaproteobacteria,5887,"Acinetobacter schindleri strain HZE33-1 plasmid pHZE33-1-7, complete sequence"
CP044480.1,108981,Acinetobacter schindleri,Bacteria,Proteobacteria,Gammaproteobacteria,5952,"Acinetobacter schindleri strain HZE33-1 plasmid pHZE33-1-6, complete sequence"
CP044479.1,108981,Acinetobacter schindleri,Bacteria,Proteobacteria,Gammaproteobacteria,6415,"Acinetobacter schindleri strain HZE33-1 plasmid pHZE33-1-5, complete sequence"
CP044478.1,108981,Acinetobacter schindleri,Bacteria,Proteobacteria,Gammaproteobacteria,8743,"Acinetobacter schindleri strain HZE33-1 plasmid pHZE33-1-4, complete sequence"
CP044477.1,108981,Acinetobacter schindleri,Bacteria,Proteobacteria,Gammaproteobacteria,11416,"Acinetobacter schindleri strain HZE33-1 plasmid pHZE33-1-3, complete sequence"
CP044476.1,108981,Acinetobacter schindleri,Bacteria,Proteobacteria,Gammaproteobacteria,13080,"Acinetobacter schindleri strain HZE33-1 plasmid pHZE33-1-2, complete sequence"
CP044475.1,108981,Acinetobacter schindleri,Bacteria,Proteobacteria,Gammaproteobacteria,132305,"Acinetobacter schindleri strain HZE33-1 plasmid pHZE33-1-1, complete sequence"
CP047882.1,28901,Salmonella enterica,Bacteria,Proteobacteria,Gammaproteobacteria,285081,"Salmonella enterica subsp. enterica serovar Infantis strain 119944 plasmid pESI, complete sequence"
CP048797.1,333965,Providencia vermicola,Bacteria,Proteobacteria,Gammaproteobacteria,151684,"Providencia vermicola strain P8538 plasmid p8538-NDM-1, complete sequence"
CP048809.1,582,Morganella morganii,Bacteria,Proteobacteria,Gammaproteobacteria,1741,"Morganella morganii strain MP63 plasmid pMP63C, complete sequence"
CP048808.1,582,Morganella morganii,Bacteria,Proteobacteria,Gammaproteobacteria,2683,"Morganella morganii strain MP63 plasmid pMP63B, complete sequence"
CP048807.1,582,Morganella morganii,Bacteria,Proteobacteria,Gammaproteobacteria,4982,"Morganella morganii strain MP63 plasmid pMP63A, complete sequence"
CP048648.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,126964,"Escherichia coli strain GW-AmxH19 plasmid unnamed, complete sequence"
CP048737.1,2707174,Enterobacter sp. T2,Bacteria,Firmicutes,Bacilli,21444,"Enterobacter sp. T2 plasmid unnamed1, complete sequence"
CP048642.1,66871,Streptomyces aureoverticillatus,Bacteria,Actinobacteria,Actinobacteria,120897,"Streptomyces aureoverticillatus strain HN6 plasmid unnamed, complete sequence"
CP048628.1,437897,Megamonas funiformis,Bacteria,Firmicutes,Negativicutes,46189,"Megamonas funiformis strain JCM 14723 plasmid putative_Mfuni1, complete sequence"
CP048640.1,2267833,Rhizobium sp. M15,Bacteria,Proteobacteria,Alphaproteobacteria,76295,"Rhizobium sp. M15 plasmid p8, complete sequence"
CP048639.1,2267833,Rhizobium sp. M15,Bacteria,Proteobacteria,Alphaproteobacteria,64792,"Rhizobium sp. M15 plasmid p7, complete sequence"
CP048638.1,2267833,Rhizobium sp. M15,Bacteria,Proteobacteria,Alphaproteobacteria,62936,"Rhizobium sp. M15 plasmid p6, complete sequence"
CP048637.1,2267833,Rhizobium sp. M15,Bacteria,Proteobacteria,Alphaproteobacteria,339368,"Rhizobium sp. M15 plasmid p5, complete sequence"
CP048636.1,2267833,Rhizobium sp. M15,Bacteria,Proteobacteria,Alphaproteobacteria,30620,"Rhizobium sp. M15 plasmid p4, complete sequence"
CP048634.1,2267833,Rhizobium sp. M15,Bacteria,Proteobacteria,Alphaproteobacteria,16358,"Rhizobium sp. M15 plasmid p2, complete sequence"
CP048633.1,2267833,Rhizobium sp. M15,Bacteria,Proteobacteria,Alphaproteobacteria,124646,"Rhizobium sp. M15 plasmid p1, complete sequence"
CP048646.1,1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,24637,"Staphylococcus aureus strain SR153 plasmid pSR03, complete sequence"
CP048645.1,1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,28040,"Staphylococcus aureus strain SR153 plasmid pSR02, complete sequence"
CP048644.1,1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,39500,"Staphylococcus aureus strain SR153 plasmid pSR01, complete sequence"
CP048631.1,1745854,Ancylobacter pratisalsi,Bacteria,Proteobacteria,Alphaproteobacteria,159741,"Ancylobacter pratisalsi strain DSM 102029 plasmid pLGM, complete sequence"
CP048622.1,588,Providencia stuartii,Bacteria,Proteobacteria,Gammaproteobacteria,2683,"Providencia stuartii strain MF1 plasmid pMF1A, complete sequence"
CP048619.1,446,Legionella pneumophila,Bacteria,Proteobacteria,Gammaproteobacteria,106642,"Legionella pneumophila strain ERS1305867 plasmid unnamed, complete sequence"
CP048608.1,294,Pseudomonas fluorescens,Bacteria,Proteobacteria,Gammaproteobacteria,80993,"Pseudomonas fluorescens strain DR133 plasmid unnamed, complete sequence"
CP040853.1,1622,Lactobacillus murinus,Bacteria,Firmicutes,Bacilli,110390,"Lactobacillus murinus strain V10 plasmid unnamed, complete sequence"
CP040856.1,33959,Lactobacillus johnsonii,Bacteria,Firmicutes,Bacilli,106173,"Lactobacillus johnsonii strain G2A plasmid unnamed2, complete sequence"
CP040855.1,33959,Lactobacillus johnsonii,Bacteria,Firmicutes,Bacilli,127062,Lactobacillus johnsonii strain G2A plasmid unnamed1
CP040857.1,1590,Lactobacillus plantarum,Bacteria,Firmicutes,Bacilli,60765,"Lactobacillus plantarum strain 202195 plasmid unnamed, complete sequence"
CP040862.1,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,263991,"Klebsiella pneumoniae strain Xen39 plasmid unnamed3, complete sequence"
CP040860.1,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,5840,"Klebsiella pneumoniae strain Xen39 plasmid unnamed2, complete sequence"
CP040859.1,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,60832,"Klebsiella pneumoniae strain Xen39 plasmid unnamed1, complete sequence"
CP047436.1,2133,Spiroplasma citri,Bacteria,Tenericutes,Mollicutes,2057,Spiroplasma citri strain BLH-13 plasmid pSciBLH13-8
CP047435.1,2133,Spiroplasma citri,Bacteria,Tenericutes,Mollicutes,7951,Spiroplasma citri strain BLH-13 plasmid pSciBLH13-7
CP047434.1,2133,Spiroplasma citri,Bacteria,Tenericutes,Mollicutes,135023,Spiroplasma citri strain BLH-13 plasmid pSciBLH13-6
CP047433.1,2133,Spiroplasma citri,Bacteria,Tenericutes,Mollicutes,22488,"Spiroplasma citri strain BLH-13 plasmid pSciBLH13-5, complete sequence"
CP047432.1,2133,Spiroplasma citri,Bacteria,Tenericutes,Mollicutes,40349,"Spiroplasma citri strain BLH-13 plasmid pSciBLH13-4, complete sequence"
CP047431.1,2133,Spiroplasma citri,Bacteria,Tenericutes,Mollicutes,39345,"Spiroplasma citri strain BLH-13 plasmid pSciBLH13-3, complete sequence"
CP047430.1,2133,Spiroplasma citri,Bacteria,Tenericutes,Mollicutes,22313,"Spiroplasma citri strain BLH-13 plasmid pSciBLH13-2, complete sequence"
CP047429.1,2133,Spiroplasma citri,Bacteria,Tenericutes,Mollicutes,122910,"Spiroplasma citri strain BLH-13 plasmid pSciBLH13-1, complete sequence"
CP046370.1,2133,Spiroplasma citri,Bacteria,Tenericutes,Mollicutes,40311,"Spiroplasma citri strain BR12 plasmid pScpBR12-2, complete sequence"
CP046369.1,2133,Spiroplasma citri,Bacteria,Tenericutes,Mollicutes,60750,"Spiroplasma citri strain BR12 plasmid pScpBR12-1, complete sequence"
CP046373.1,2133,Spiroplasma citri,Bacteria,Tenericutes,Mollicutes,39856,"Spiroplasma citri strain LB 319 plasmid pScpLB319-2, complete sequence"
CP046372.1,2133,Spiroplasma citri,Bacteria,Tenericutes,Mollicutes,55632,"Spiroplasma citri strain LB 319 plasmid pScpLB319-1, complete sequence"
CP026489.1,1476754,Streptomyces sp. 604F,Bacteria,Actinobacteria,Actinobacteria,186091,"Streptomyces sp. 604F plasmid unnamed, complete sequence"
CP048440.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,98786,"Escherichia coli strain NBRC3301 plasmid putative_pEcol1, complete sequence"
CP048435.1,74426,Collinsella aerofaciens,Bacteria,Actinobacteria,Coriobacteriia,4066,"Collinsella aerofaciens ATCC 25986 strain JCM 10188 plasmid putative_pCaero2, complete sequence"
CP048434.1,74426,Collinsella aerofaciens,Bacteria,Actinobacteria,Coriobacteriia,23044,"Collinsella aerofaciens ATCC 25986 strain JCM 10188 plasmid putative_pCaero1, complete sequence"
CP041652.2,2594454,Streptomyces sp. RLB1-9,Bacteria,Actinobacteria,Actinobacteria,106635,"Streptomyces sp. RLB1-9 plasmid pRLB1-9.2, complete sequence"
CP048428.1,240521,Rhizobium daejeonense,Bacteria,Proteobacteria,Alphaproteobacteria,105062,"Rhizobium daejeonense strain KACC 13094 plasmid unnamed4, complete sequence"
CP048426.1,240521,Rhizobium daejeonense,Bacteria,Proteobacteria,Alphaproteobacteria,236493,"Rhizobium daejeonense strain KACC 13094 plasmid unnamed3, complete sequence"
CP048425.1,240521,Rhizobium daejeonense,Bacteria,Proteobacteria,Alphaproteobacteria,307615,"Rhizobium daejeonense strain KACC 13094 plasmid unnamed2, complete sequence"
CP048424.1,240521,Rhizobium daejeonense,Bacteria,Proteobacteria,Alphaproteobacteria,256449,"Rhizobium daejeonense strain KACC 13094 plasmid unnamed1, complete sequence"
CP048423.1,424800,Sphingomonas insulae,Bacteria,Proteobacteria,Alphaproteobacteria,36248,"Sphingomonas insulae strain KCTC 12872 plasmid unnamed4, complete sequence"
CP048421.1,424800,Sphingomonas insulae,Bacteria,Proteobacteria,Alphaproteobacteria,192928,"Sphingomonas insulae strain KCTC 12872 plasmid unnamed3, complete sequence"
CP048420.1,424800,Sphingomonas insulae,Bacteria,Proteobacteria,Alphaproteobacteria,71465,"Sphingomonas insulae strain KCTC 12872 plasmid unnamed2, complete sequence"
CP048419.1,424800,Sphingomonas insulae,Bacteria,Proteobacteria,Alphaproteobacteria,85289,"Sphingomonas insulae strain KCTC 12872 plasmid unnamed1, complete sequence"
CP048403.1,747,Pasteurella multocida,Bacteria,Proteobacteria,Gammaproteobacteria,3346,"Pasteurella multocida strain HS_Canada1 plasmid unnamed, complete sequence"
CP048399.1,2705439,Streptomyces sp. S4.7,Bacteria,Actinobacteria,Actinobacteria,10110,"Streptomyces sp. S4.7 plasmid pSSPS4.7b, complete sequence"
CP048398.1,2705439,Streptomyces sp. S4.7,Bacteria,Actinobacteria,Actinobacteria,10119,"Streptomyces sp. S4.7 plasmid pSSPS4.7a, complete sequence"
CP030869.2,2259623,Oenococcus sp. UCMA 16435,Bacteria,Firmicutes,Bacilli,3978,"Oenococcus sp. UCMA 16435 plasmid unnamed, complete sequence"
AP022623.1,36809,Mycobacteroides abscessus,Bacteria,Actinobacteria,Actinobacteria,38763,"Mycobacteroides abscessus JCM 30620 plasmid pJCM30620_2 DNA, nearly complete genome"
AP022622.1,36809,Mycobacteroides abscessus,Bacteria,Actinobacteria,Actinobacteria,119389,"Mycobacteroides abscessus JCM 30620 plasmid pJCM30620_1 DNA, nearly complete genome"
AP022611.1,212765,Mycolicibacterium madagascariense,Bacteria,Actinobacteria,Actinobacteria,228287,"Mycolicibacterium madagascariense JCM 13574 plasmid pJCM13574 DNA, nearly complete genome"
AP022607.1,43348,Mycobacterium branderi,Bacteria,Actinobacteria,Actinobacteria,864257,"Mycobacterium branderi JCM 12687 plasmid pJCM12687 DNA, nearly complete genome"
AP022602.1,39689,Mycobacterium gallinarum,Bacteria,Actinobacteria,Actinobacteria,211674,"Mycobacterium gallinarum JCM 6399 plasmid pJCM6399 DNA, nearly complete genome"
AP022593.1,1286181,Mycolicibacterium arabiense,Bacteria,Actinobacteria,Actinobacteria,6017160,"Mycolicibacterium arabiense JCM 18538 plasmid pJCM18538 DNA, complete genome"
AP022585.1,701042,Mycobacterium marseillense,Bacteria,Actinobacteria,Actinobacteria,17972,"Mycobacterium marseillense JCM 17324 plasmid pJCM17324 DNA, complete genome"
AP022580.1,146017,Mycolicibacterium boenickei,Bacteria,Actinobacteria,Actinobacteria,21984,"Mycolicibacterium boenickei JCM 15653 plasmid pJCM15653 DNA, complete genome"
AP022578.1,319707,Mycolicibacterium aubagnense,Bacteria,Actinobacteria,Actinobacteria,266447,"Mycolicibacterium aubagnense JCM 15296 plasmid pJCM15296 DNA, complete genome"
AP022571.1,39694,Mycolicibacterium poriferae,Bacteria,Actinobacteria,Actinobacteria,216341,"Mycolicibacterium poriferae JCM 12603 plasmid pJCM12603 DNA, complete genome"
AP022566.1,67081,Mycolicibacterium alvei,Bacteria,Actinobacteria,Actinobacteria,304163,"Mycolicibacterium alvei JCM 12272 plasmid pJCM12272 DNA, complete genome"
CP025978.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,46623,"Escherichia coli strain 10754 a-1 plasmid p10754a1_46, complete sequence"
CP025977.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,92477,"Escherichia coli strain 10754 a-1 plasmid p10754a1_92, complete sequence"
CP025975.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,46623,"Escherichia coli strain 10802 a plasmid p10802a_46, complete sequence"
CP025974.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,92479,"Escherichia coli strain 10802 a plasmid p10802a_92, complete sequence"
CP025972.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,46623,"Escherichia coli strain 11573 a-1 plasmid p11573a1_46, complete sequence"
CP025971.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,92481,"Escherichia coli strain 11573 a-1 plasmid p11573a1_92, complete sequence"
CP025969.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,9863,"Escherichia coli strain 2407 a plasmid p2407a_9, complete sequence"
CP025968.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,135437,"Escherichia coli strain 2407 a plasmid p2407a_135, complete sequence"
CP034937.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,94608,"Escherichia coli strain PNUSAE013304 plasmid p2018C-3602, complete sequence"
